city_id,grievance_id,ward_id,ward_name_raw,ward_name_canon,category_raw,sub_category_raw,category_norm,description,created_at,status,lat,lng
blr,20096212,69.0,Laggere,Laggere,Road Maintenance(Engg),Road side drains,DRAINAGE,,2020-12-31 10:23:00,Closed,,
blr,20096211,25.0,Horamavu,Horamavu,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 10:20:00,Closed,,
blr,20096210,193.0,Arakere,Arakere,Solid Waste (Garbage) Related,Burning of Garbage in Open Space,GARBAGE,,2020-12-31 10:19:00,Closed,,
blr,20096209,172.0,Madiwala,Madivala,veterinary,Animal birth control/neutering of stray dogs,OTHER,,2020-12-31 10:11:00,Rejected,,
blr,20096208,157.0,Gali Anjaneya Swamy Temple Ward,Gali Anjenaya Temple ward,Road Maintenance(Engg),Potholes,ROADS,,2020-12-31 10:07:00,Closed,,
blr,20096207,104.0,Govindraja Nagara,Govindaraja Nagar,Electrical,Street Lights Switched On During Day Time,STREETLIGHT,,2020-12-31 09:59:00,Closed,,
blr,20096206,26.0,Ramamurthy Nagar,Ramamurthy Nagar,Solid Waste (Garbage) Related,Garbage vehicle not arrived,GARBAGE,,2020-12-31 09:42:00,Resolved,,
blr,20096205,5.0,Jakkur,Jakkuru,Solid Waste (Garbage) Related,Garbage vehicle not arrived,GARBAGE,,2020-12-31 09:42:00,Closed,,
blr,20096204,153.0,Jayangar,Jayanagar,Solid Waste (Garbage) Related,Garbage dump,GARBAGE,,2020-12-31 09:38:00,Closed,,
blr,20096203,191.0,Singasandra,Singasandra,Road Maintenance(Engg),Potholes,ROADS,,2020-12-31 09:36:00,Closed,,
blr,20096202,89.0,Jogupalya,Jogupalya,Forest,obstructions Branches / Trees.,OTHER,,2020-12-31 09:34:00,Resolved,,
blr,20096201,9.0,Vidyaranyapura,Vidyaranyapura,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 09:34:00,Closed,,
blr,20096200,89.0,Jogupalya,Jogupalya,Forest,obstructions Branches / Trees.,OTHER,,2020-12-31 09:33:00,Resolved,,
blr,20096199,39.0,Chokkasandra,Chokkasandra,Solid Waste (Garbage) Related,Garbage vehicle not arrived,GARBAGE,,2020-12-31 09:29:00,Closed,,
blr,20096198,191.0,Singasandra,Singasandra,Electrical,Street Lights Switched On During Day Time,STREETLIGHT,,2020-12-31 09:29:00,Closed,,
blr,20096197,173.0,Jakkasandra,Jakkasandra,Solid Waste (Garbage) Related,Garbage dumping in vacant sites,GARBAGE,,2020-12-31 09:23:00,Closed,,
blr,20096196,58.0,Newthippasandra,New Tippasandara,Health Dept,Air/Noise pollution,OTHER,,2020-12-31 09:20:00,Closed,,
blr,20096195,190.0,Mangammanapalya,Mangammanapalya,Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,GARBAGE,,2020-12-31 09:17:00,Closed,,
blr,20096194,58.0,Newthippasandra,New Tippasandara,veterinary,Animal birth control/neutering of stray dogs,OTHER,,2020-12-31 09:16:00,Closed,,
blr,20096193,,Someshwara,,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 09:12:00,Closed,,
blr,20096192,163.0,Katriguppe,Katriguppe,Solid Waste (Garbage) Related,Garbage nuisance while transporting,GARBAGE,,2020-12-31 09:11:00,Closed,,
blr,20096191,181.0,Kumaraswamy Layout,Kumaraswamy Layout,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 09:00:00,Closed,,
blr,20096190,,Shankaramata,,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 08:58:00,Closed,,
blr,20096189,25.0,Horamavu,Horamavu,Road Maintenance(Engg),Potholes,ROADS,,2020-12-31 08:57:00,Closed,,
blr,20096188,,Shankaramata,,Solid Waste (Garbage) Related,Garbage dump,GARBAGE,,2020-12-31 08:56:00,Closed,,
blr,20096187,86.0,Marathalli,Marathahalli,Solid Waste (Garbage) Related,Public dustbins not cleaned,GARBAGE,,2020-12-31 08:51:00,Closed,,
blr,20096186,155.0,Hanumantha Nagar,Hanumanth Nagar,Road Maintenance(Engg),Debris Removal / Construction Material,GARBAGE,,2020-12-31 08:51:00,Rejected,,
blr,20096185,108.0,Sri Rammandira,Sriramamandir,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 08:40:00,Closed,,
